message_id,action,message_type,reason,confidence,evidence_message_ids
msg_023,digest,business_update,User opened and replied to an identical bank message within minutes; transactional but not urgent enough to override quiet hours.,0.88,message_0243
msg_091,mute,scam,Identical phishing message previously reported by user; sender impersonates workspace admin to harvest OTP.,0.94,message_0238
msg_090,digest,personal,An unfamiliar sender makes a direct but non-urgent request that does not require immediate interruption.,0.79,none
msg_048,mute,scam,"User has reported nearly identical QR-payment messages from this sender as fraudulent, with consistent dismissal and muting across multiple similar attempts.",0.91,message_0151;message_0152
msg_040,mute,forward,Sender has a repeated pattern of forwarded chain messages that user consistently dismisses and mutes.,0.89,message_0136
msg_075,notify,event,Verified ride service on its official domain sent a same-day pickup change; user replied to an identical alert within minutes.,0.88,message_0206
msg_005,notify,personal,Direct time-bound request to this user from a seller they have consistently replied to within minutes.,0.85,message_0065;message_0049
msg_104,mute,promotion,Sender's consistent pattern of sales pitches and user's repeated muting of this sender outweigh the direct request format.,0.88,message_0383;message_0224
msg_069,mute,greeting,Sender has a consistent pattern of dismissed forwards and greetings; user has muted this group and dismissed similar content repeatedly.,0.89,message_0194;message_0193
msg_107,mute,scam,"Repeated OTP-harvesting scam from the same sender, matching a pattern of near-identical prior attempts to deceive this user.",0.94,message_0056;message_0369
msg_070,mute,scam,Sender has a sustained pattern of OTP-harvesting scams; this message matches identical past phishing attempts requesting urgent verification.,0.93,message_0369;message_0213
msg_003,notify,business_update,Verified business sent a same-day delivery update matching the user's recent order history and consistent engagement pattern.,0.91,message_0031
msg_099,digest,personal,Trusted sender shares non-urgent preparatory work notes; past near-identical message was opened and read within normal hours.,0.87,message_0227
msg_008,digest,business_update,"User engaged with near-identical review request weeks ago, but message arrives during quiet hours and user shows notification fatigue.",0.84,message_0072
msg_092,digest,business_update,Verified sender on its official domain sending a routine statement notice with no immediate action required.,0.82,message_0345
msg_060,notify,urgent,Group admin posted a same-day form deadline; user has replied within minutes to identical past reminders.,0.86,message_0284;message_0176
msg_004,notify,business_update,"Verified healthcare sender on its official domain, tied to an upcoming appointment the user consistently opens and replies to quickly.",0.78,message_0245
msg_030,mute,promotion,Near-identical resale listing from the same sender was previously dismissed and muted in an already-muted marketplace group.,0.88,message_0115;message_0335
msg_045,notify,urgent,Sender has pattern of reliable time-bound operational notices; message carries immediate deadline and requires user action to complete delivery.,0.88,message_0146;message_0031
msg_052,mute,scam,"An unverified or newly registered sender used a domain that does not match the brand's official domain, indicating impersonation.",0.90,message_0208
msg_009,digest,personal,"Sender has a history of sports threads this user engages with, but the muted group and low read rate suggest digest is appropriate here.",0.76,message_0074
